"metro","cbsa","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
"Corpus Christi, TX","=""18580""","48,091",585,"48,091","128,826,445","12,217","8,992,469","30,607","39,833,498","2,377","1,855","1,431","46,938","216,144,882",992,"1,016,906","42,331",0,"21,668","25,017","21,848",887,"24,194","19,956",0,"10,524","3,605","7,529","10,550","7,328","5,449","4,319","3,395","2,457","1,976",0
"Corvallis, OR","=""18700""","4,381",51,"4,381","7,309,863",847,"673,739","1,798","2,319,782",201,288,473,"4,194","12,578,400",141,"139,287","3,503",0,"1,057","2,992","1,017",317,"2,138","1,643",0,867,691,913,906,335,339,274,248,210,209,0
"Crestview-Fort Walton Beach-Destin, FL","=""18880""","21,660",123,"21,660","51,350,379","5,693","4,209,498","13,006","16,984,057","1,597",729,945,"20,861","89,482,030",766,"759,658","19,191",0,"8,346","12,252","8,522",778,"11,269","8,390",0,"5,306","2,029","3,413","4,593","2,673","2,270","2,051","1,761","1,371","1,197",0
"Cumberland, MD-WV","=""19060""","8,091",32,"8,091","17,993,998","1,949","1,466,021","4,428","5,437,045",176,154,230,"7,883","32,337,697",128,"150,060","6,836",0,"2,822","3,272","4,262",389,"4,761","2,616",0,"1,301",775,"1,335","1,662",925,687,543,414,305,299,0
"Dallas-Fort Worth-Arlington, TX","=""19100""","599,071","14,142","599,071","1,584,938,738","163,513","119,871,412","381,197","515,038,467","40,793","36,634","24,045","576,822","2,667,817,242","21,331","23,741,469","523,419","1,314","280,829","253,386","335,193","8,785","336,955","224,021",0,"183,545","39,332","85,080","124,678","91,308","68,290","61,674","52,889","38,484","30,243",203
"Dalton, GA","=""19140""","16,664",343,"16,664","44,578,211","5,418","3,970,278","11,298","15,659,654",771,437,327,"16,264","73,647,882",360,"372,048","14,743",0,"7,484","6,212","10,257",111,"8,687","7,056",0,"3,148",966,"2,042","2,958","2,164","2,019","2,148","1,742","1,270",980,28
"Danville, IL","=""19180""","7,932",101,"7,932","21,095,640","1,882","1,416,270","5,071","6,592,005",288,146,128,"7,752","35,647,087",73,"142,008","7,228",0,"3,789","3,700","3,877",221,"3,797","3,468",0,"1,519",616,"1,208","1,753","1,000",697,591,498,363,281,0
"Daphne-Fairhope-Foley, AL","=""19300""","16,432",83,"16,432","42,893,893","4,008","2,938,296","10,114","12,886,298",951,648,666,"15,831","68,328,062",487,"574,800","14,664",22,"7,769","8,716","7,485",88,"9,119","6,156",0,"4,514","1,124","2,526","3,814","2,375","1,721","1,357","1,101",822,707,0
"Davenport-Moline-Rock Island, IA-IL","=""19340""","31,063",409,"31,063","74,838,767","8,296","6,148,483","18,482","23,473,280","1,560","1,181","1,561","30,280","131,640,853",509,"680,176","27,944",0,"11,122","16,057","13,667",985,"13,506","14,442",0,"4,680","2,820","4,739","6,212","3,893","3,077","2,672","2,166","1,495","1,268",0
"Dayton, OH","=""19380""","67,945",739,"67,945","165,717,880","16,620","12,462,573","40,132","51,069,932","3,140","3,537","3,653","66,086","281,381,577","1,669","1,580,310","59,620",251,"26,735","41,667","23,702","2,241","34,659","27,541",0,"13,023","6,706","11,457","15,303","8,991","6,709","5,884","4,917","3,713","2,986",0
"Decatur, AL","=""19460""","14,575",120,"14,575","37,946,850","3,435","2,471,052","8,926","11,125,092",583,628,325,"14,154","61,246,600",351,"365,418","13,029",102,"7,309","4,500","9,684",248,"8,966","4,675",0,"3,662",968,"2,385","3,306","2,225","1,570","1,284","1,050",734,702,0
"Decatur, IL","=""19500""","10,147",165,"10,147","26,720,459","2,320","1,618,767","6,346","7,923,625",441,262,307,"9,927","43,149,394",181,"183,105","9,133",0,"4,479","5,114","4,582",347,"5,879","3,553",0,"1,959",862,"1,782","2,306","1,453","1,016",711,530,380,271,0
"Deltona-Daytona Beach-Ormond Beach, FL","=""19660""","58,642",548,"58,642","138,546,244","12,701","9,096,373","32,352","41,037,224","3,665","2,555","2,667","56,227","228,796,888","2,235","1,913,586","50,249",92,"20,416","32,223","24,399","1,742","29,527","23,365",0,"16,179","6,085","10,186","13,409","8,060","5,870","4,924","3,933","2,894","2,195",0
"Denver-Aurora-Lakewood, CO","=""19740""","173,697","3,978","173,697","384,289,870","51,599","40,207,907","97,411","127,588,881","8,869","8,084","11,302","164,657","640,340,303","8,609","8,744,648","141,999",0,"59,645","83,581","83,305","5,973","93,563","64,817",0,"42,793","16,721","28,211","34,444","19,750","16,914","16,627","15,750","11,863","9,516",104
"Des Moines-West Des Moines, IA","=""19780""","37,650",659,"37,650","86,436,908","11,574","8,985,769","22,288","29,689,519","2,782","1,612","2,852","36,299","156,688,645",995,"1,364,058","32,185",0,"14,109","16,388","18,630","2,069","20,265","14,265",0,"7,200","3,303","5,372","6,519","4,232","3,728","3,790","3,335","2,563","2,125",0
"Detroit-Warren-Dearborn, MI","=""19820""","362,788","6,708","362,788","944,801,219","71,470","51,963,039","213,618","278,195,965","14,329","23,589","16,286","349,068","1,448,990,690","12,984","11,754,153","301,735",637,"161,138","148,782","206,588","6,038","219,317","119,326",0,"115,886","32,069","66,829","93,731","50,813","33,153","28,384","23,539","16,938","13,335",30
"Dothan, AL","=""20020""","16,691",111,"16,691","46,659,729","3,591","2,525,820","10,338","13,011,818",681,458,242,"16,360","73,406,704",197,"288,258","15,228",59,"9,484","6,457","9,856",211,"9,242","6,432",0,"3,687",991,"2,725","4,094","2,598","1,622","1,376","1,043",689,499,0
"Dover, DE","=""20100""","15,612",184,"15,612","37,465,751","4,326","3,122,947","9,645","12,185,518","1,281",824,660,"15,287","66,919,065",258,"293,067","13,914",25,"6,434","9,061","5,256","1,193","6,734","7,405",0,"2,126","1,323","2,494","3,075","1,961","1,739","1,532","1,334",956,718,0
"Dubuque, IA","=""20220""","6,465",74,"6,465","14,159,136","1,601","1,250,567","3,496","4,510,276",443,266,472,"6,210","25,637,028",157,"226,593","5,437",0,"1,824","2,301","3,474",566,"3,968","1,980",0,"1,354",670,973,"1,268",599,565,497,454,321,292,0
"Duluth, MN-WI","=""20260""","18,334",29,"18,334","36,300,376","4,445","3,387,829","9,138","11,253,064",926,534,"1,396","17,624","62,440,725",375,"521,099","14,755",0,"5,763","9,666","6,468","1,605","8,859","7,336",0,"2,748","2,159","3,199","3,506","1,709","1,392","1,202","1,060",722,648,0
"Durham-Chapel Hill, NC","=""20500""","41,364",942,"41,364","99,331,504","9,890","7,115,638","23,750","30,016,442","2,805","2,320","1,947","39,912","162,788,993","1,334","1,277,512","35,850",130,"18,796","19,829","18,964","2,342","21,567","16,963",0,"9,258","3,641","7,227","9,310","5,292","3,982","3,941","3,278","2,265","1,389",0
"East Stroudsburg, PA","=""20700""","12,682",55,"12,682","27,946,714","2,794","2,108,084","6,623","8,272,228",600,622,627,"12,141","48,889,745",370,"487,268","10,625",0,"4,765","5,491","6,939",56,"6,917","4,381",0,"2,720","1,266","2,090","2,654","1,339","1,078",973,860,622,571,0
"Eau Claire, WI","=""20740""","10,809",29,"10,809","21,935,754","2,991","2,392,212","5,592","7,267,749",563,416,906,"10,305","39,366,490",378,"413,832","8,904",0,"3,044","5,410","4,889",441,"5,487","4,305",0,"2,201","1,214","1,781","2,104","1,161",905,907,811,676,663,0
"El Centro, CA","=""20940""","30,885","1,047","30,885","85,346,763","6,976","4,605,249","19,921","24,933,344",586,787,353,"30,036","121,454,366",785,"651,945","23,788",0,"9,737","9,093","21,275",425,"18,031","10,906",0,"5,970","1,870","5,298","7,457","5,072","3,530","2,637","2,012","1,373","1,279",27
"El Paso, TX","=""21340""","123,224","2,887","123,224","355,222,137","28,975","20,299,568","81,853","110,821,491","4,319","7,279","4,940","119,894","565,867,538","3,238","3,052,634","110,829",85,"50,791","47,055","71,718","4,225","64,665","51,135",0,"30,403","7,446","17,482","29,011","19,708","14,593","11,687","9,028","6,881","6,247",161
"Elizabethtown-Fort Knox, KY","=""21060""","14,322",86,"14,322","34,242,231","3,704","2,795,469","8,628","11,176,360",595,523,679,"13,893","61,360,950",255,"341,976","12,748",0,"6,107","6,568","7,228",383,"7,201","5,775",0,"2,720","1,199","2,366","2,859","1,700","1,287","1,196",909,785,803,0
"Elkhart-Goshen, IN","=""21140""","17,236",321,"17,236","42,184,861","5,859","4,645,257","10,883","14,908,934",853,541,803,"16,835","78,221,791",350,"346,017","15,518",0,"7,115","9,197","7,677",290,"7,536","8,424",0,"2,861","1,322","2,419","3,112","2,017","1,837","1,787","1,667","1,315","1,326",0
"Elmira, NY","=""21300""","7,714",78,"7,714","17,471,992","1,910","1,397,984","4,347","5,426,213",252,198,417,"7,540","30,958,420",102,"139,731","6,844",0,"3,517","3,946","3,126",544,"3,333","3,550",0,984,861,"1,341","1,530",895,760,561,425,335,249,0
"Erie, PA","=""21500""","24,834",325,"24,834","57,870,825","5,874","4,382,909","14,256","17,897,529",951,"1,053","2,234","24,209","103,262,583",548,"504,243","21,708",0,"8,727","12,702","9,877","2,140","11,394","11,196",0,"3,572","2,881","4,366","5,149","3,145","2,621","1,942","1,664","1,225","1,127",0
"Eugene, OR","=""21660""","26,368",307,"26,368","51,796,625","6,215","4,724,653","13,115","16,696,380","1,396","1,127","1,998","25,080","86,027,131","1,128","1,053,463","21,405",0,"8,629","16,571","7,895","1,573","12,649","10,522",0,"4,971","3,090","4,999","5,225","2,642","2,243","2,121","1,855","1,436","1,277",0
"Evansville, IN-KY","=""21780""","25,016",241,"25,016","57,110,599","6,266","4,834,117","14,122","17,363,115","1,451",813,"1,135","24,476","101,153,581",380,"477,511","22,087",0,"10,638","11,389","12,714",713,"11,389","11,098",0,"3,553","2,690","4,381","5,233","2,987","2,329","2,003","1,681","1,325","1,263",0
"Fairbanks, AK","=""21820""","5,449",0,"5,449","11,483,160","2,496","1,826,424","3,359","4,662,336",422,288,471,"5,320","24,688,071",83,"130,646","4,955",0,"1,977","3,369","1,714",181,"3,210","1,815",0,813,318,682,805,405,482,623,681,534,488,0
"Fargo, ND-MN","=""22020""","13,646",373,"13,646","28,594,124","3,873","2,976,948","7,334","9,539,411","1,359",735,"1,602","13,191","52,782,249",361,"495,570","11,475",0,"3,965","6,105","6,386",928,"7,864","4,510",0,"2,015","1,453","2,106","2,401","1,350","1,362","1,367","1,196",805,604,0
"Farmington, NM","=""22140""","12,502",182,"12,502","29,718,118","3,487","2,751,979","7,482","9,451,146",369,294,333,"12,265","50,714,194",166,"176,704","10,938",0,"2,777","4,299","7,752",361,"6,919","4,477",0,"1,456","1,251","2,209","2,409","1,424","1,275","1,071",962,744,594,23
"Fayetteville, NC","=""22180""","47,656",656,"47,656","126,127,471","12,505","8,914,728","31,908","41,632,499","3,448","2,987","2,666","46,852","220,922,538",718,"682,994","44,449",0,"24,588","25,951","19,149","2,406","23,411","21,305",0,"9,343","3,580","7,383","9,845","6,280","5,183","5,039","4,213","3,158","2,554",26
"Fayetteville-Springdale-Rogers, AR-MO","=""22220""","42,558",809,"42,558","108,722,235","12,748","9,576,334","27,572","37,563,240","1,715","1,461","1,492","41,059","181,979,393","1,286","1,348,579","36,416",0,"18,631","14,868","26,408",866,"24,837","14,778",0,"9,560","3,096","6,024","8,041","5,623","5,112","4,409","3,368","2,612","2,554",46
"Flagstaff, AZ","=""22380""","11,551",146,"11,551","26,172,324","3,133","2,389,825","6,611","8,565,995",398,395,603,"11,205","44,082,921",245,"236,273","10,032",0,"5,494","4,468","6,259",616,"5,794","4,565",0,"1,994","1,089","1,983","2,339","1,364","1,128","1,007",889,613,462,0
"Flint, MI","=""22420""","42,061",696,"42,061","109,786,373","8,133","5,894,453","25,344","32,137,207","1,261","2,070","2,306","40,759","166,943,579","1,225","1,056,752","36,888",22,"19,318","18,682","22,735",443,"24,224","14,741",0,"12,205","4,075","8,138","10,828","5,893","3,787","3,075","2,389","1,835","1,642",0
"Florence, SC","=""22500""","27,269",331,"27,269","73,726,651","5,759","3,879,806","17,110","20,884,745","1,579","1,307",658,"26,750","112,955,695",415,"380,636","24,202",219,"15,589","10,754","16,031",376,"14,201","11,328",0,"5,847","1,997","4,778","6,831","4,185","3,004","2,336","1,723","1,150",801,0
"Florence-Muscle Shoals, AL","=""22520""","13,309",47,"13,309","32,646,946","3,109","2,313,493","7,707","9,387,669",570,471,372,"12,848","53,078,199",361,"359,027","11,761",0,"5,172","3,350","9,608",264,"8,226","4,163",0,"3,399","1,122","2,355","2,996","1,829","1,334","1,057",958,698,634,0
"Fond du Lac, WI","=""22540""","5,987",32,"5,987","12,565,761","1,689","1,392,879","3,113","4,043,419",278,193,398,"5,792","22,294,129",150,"184,765","5,082",0,"1,752","3,173","2,541",178,"2,693","2,658",0,935,586,907,"1,059",604,529,475,464,377,322,0
"Fort Collins, CO","=""22660""","17,576",176,"17,576","33,012,649","4,484","3,541,642","8,397","10,622,800",914,937,"1,775","16,582","56,510,269",897,"972,620","14,340",0,"5,167","10,507","6,156",817,"9,504","6,169",0,"4,287","2,146","3,340","3,598","1,692","1,485","1,372","1,332","1,076",976,0
"Fort Smith, AR-OK","=""22900""","28,884",288,"28,884","75,225,803","7,549","5,638,038","18,293","23,925,334",775,537,552,"28,100","121,887,561",497,"640,066","24,912",0,"12,981","7,998","19,068","1,371","17,831","9,306",0,"6,430","2,233","4,422","5,706","4,190","3,271","2,485","1,906","1,362","1,527",0
"Fort Wayne, IN","=""23060""","37,096",505,"37,096","91,434,976","9,786","7,501,362","22,396","29,917,262","1,818","1,643","2,511","36,111","157,733,135",822,"865,468","31,940",0,"13,230","20,713","14,996","1,190","18,252","15,760",0,"7,440","3,346","6,068","7,765","4,516","3,641","3,409","2,850","2,215","2,095",0
"Fresno, CA","=""23420""","107,788","3,697","107,788","297,429,658","30,406","21,581,331","72,330","94,568,393","3,710","4,126","3,192","104,585","451,753,375","2,992","3,387,338","83,483",22,"35,085","44,881","60,374","2,179","55,633","45,415",0,"20,546","6,746","16,279","23,011","16,549","12,251","10,530","8,976","6,321","5,247",111
"Gadsden, AL","=""23460""","11,347",82,"11,347","30,403,005","2,522","1,757,594","6,920","8,777,214",510,452,234,"10,988","48,229,314",348,"308,746","10,113",0,"5,853","3,190","7,740",357,"6,464","4,202",0,"3,072",825,"1,770","2,718","1,782","1,313",931,759,551,515,0
"Gainesville, FL","=""23540""","22,776",203,"22,776","53,964,887","4,871","3,469,537","12,738","16,516,286","1,682","1,270","1,133","22,102","90,873,676",582,"539,330","20,230",51,"8,346","14,363","7,773",493,"10,400","10,065",0,"5,149","2,295","3,967","5,136","3,096","2,311","1,870","1,594","1,083",766,0
"Gainesville, GA","=""23580""","18,992",405,"18,992","50,492,351","5,010","3,498,508","12,515","17,462,675",953,800,497,"18,280","82,291,620",669,"647,986","16,778",0,"7,517","7,549","11,342",13,"10,803","6,989",0,"5,388","1,231","2,748","3,804","2,782","2,390","1,912","1,659","1,195","1,091",21
"Gettysburg, PA","=""23900""","6,326",3,"6,326","13,289,739","1,907","1,514,415","3,460","4,431,280",247,242,367,"6,067","25,700,675",141,"267,266","5,289",0,"1,953","3,309","2,794",145,"3,205","2,590",0,"1,188",608,972,"1,149",709,586,640,505,386,401,0
"Glens Falls, NY","=""24020""","10,630",0,"10,630","22,017,789","2,695","2,056,516","5,347","6,513,683",335,190,477,"10,184","39,717,572",284,"378,293","9,003",0,"4,028","4,869","4,797",655,"4,800","4,410",0,"1,923","1,155","1,682","2,014","1,150",906,791,706,460,343,0
"Goldsboro, NC","=""24140""","13,272",259,"13,272","34,667,531","3,723","2,698,458","8,621","10,899,424",722,620,417,"13,003","58,819,242",241,"227,297","11,850",0,"6,711","6,639","6,032",557,"6,838","5,657",0,"2,317",968,"2,052","2,709","1,734","1,538","1,438","1,199",840,620,0
"Grand Forks, ND-MN","=""24220""","6,393",98,"6,393","13,329,306","1,821","1,490,205","3,475","4,615,430",478,311,598,"6,180","25,410,702",88,"184,218","5,375",0,"2,175","2,979","2,894",291,"2,979","2,641",0,852,675,921,"1,064",502,498,512,498,372,289,0
"Grand Island, NE","=""24260""","7,629",266,"7,629","18,399,367","2,504","1,912,817","4,876","6,602,437",705,374,256,"7,439","34,590,758",99,"176,154","6,603",0,"2,952","3,568","3,808",71,"3,529","3,409",0,"1,259",447,956,"1,158",778,753,941,609,452,420,0
"Grand Junction, CO","=""24300""","10,663",93,"10,663","22,784,731","2,737","2,122,506","5,869","7,573,307",564,404,652,"10,225","39,081,470",398,"434,763","8,873",0,"4,149","5,735","4,057",806,"5,488","4,181",0,"2,032","1,238","1,873","1,997","1,155","1,012",873,768,633,619,0
"Grand Rapids-Wyoming, MI","=""24340""","74,327","1,123","74,327","172,542,626","21,480","16,771,877","43,721","58,377,281","2,958","3,827","5,275","71,611","302,080,025","2,383","2,641,546","62,689",0,"26,757","35,422","35,689","2,891","37,787","30,971",0,"15,766","6,856","11,437","14,559","8,937","7,445","7,053","6,238","4,895","5,037",28
"Grants Pass, OR","=""24420""","7,463",61,"7,463","16,436,639","1,666","1,228,410","4,048","5,275,763",308,167,297,"7,003","25,568,106",410,"358,758","6,015",0,"2,615","3,663","3,162",566,"4,390","2,429",0,"1,831",894,"1,352","1,470",810,635,586,480,352,329,0
"Great Falls, MT","=""24500""","6,977",31,"6,977","15,366,514","2,003","1,517,535","4,002","5,224,493",424,254,472,"6,783","27,921,976",156,"180,593","5,843",0,"2,581","3,319","2,690",757,"3,153","3,061",0,886,698,"1,099","1,258",737,616,600,499,431,439,0
"Greeley, CO","=""24540""","18,440",364,"18,440","43,457,533","6,398","5,038,086","11,420","15,517,912",762,622,996,"17,719","75,727,540",548,"778,618","15,439",0,"6,512","8,208","9,591",480,"9,650","7,442",0,"3,696","1,370","2,507","3,115","2,028","1,829","1,984","1,740","1,330","1,262",51
"Green Bay, WI","=""24580""","21,345",234,"21,345","46,603,645","6,303","4,873,448","11,776","15,274,114",919,810,"1,391","20,642","83,336,906",551,"646,473","17,948",0,"6,181","10,242","10,489",438,"11,346","8,156",0,"3,489","2,097","3,344","3,980","2,251","2,105","2,118","1,733","1,328","1,171",0
"Greensboro-High Point, NC","=""24660""","75,581","1,490","75,581","189,312,819","17,385","12,455,808","44,928","56,670,743","4,751","3,881","2,580","73,243","305,992,874","2,155","2,122,366","65,754",311,"34,794","35,495","37,335","2,377","41,973","28,600",0,"17,249","6,285","12,982","17,183","10,592","7,868","6,806","5,709","4,128","2,954",0
"Greenville, NC","=""24780""","18,256",332,"18,256","48,901,923","3,914","2,659,615","11,344","14,046,431","1,045","1,065",672,"17,935","77,757,646",255,"290,669","16,502",287,"9,536","9,402","8,085",641,"9,883","7,250",0,"3,372","1,281","3,232","4,399","2,737","1,923","1,646","1,220",779,498,0
"Greenville-Anderson-Mauldin, SC","=""24860""","77,211",865,"77,211","191,542,601","19,944","14,675,749","46,600","59,634,409","4,679","3,293","3,164","74,648","300,990,720","2,421","2,347,275","67,246",112,"36,347","33,102","41,460","2,311","42,657","28,462",0,"16,590","6,106","12,342","16,415","10,692","8,372","7,252","6,146","4,538","3,916",11
"Gulfport-Biloxi-Pascagoula, MS","=""25060""","43,167",548,"43,167","120,245,376","9,603","6,925,354","27,756","36,011,339","2,311","2,093","1,466","42,128","189,974,038",985,"936,738","39,412",0,"23,581","18,923","22,556","1,542","24,378","16,080",0,"11,773","2,722","6,577","10,955","7,109","4,388","3,639","2,863","2,205","1,904",0
"Hagerstown-Martinsburg, MD-WV","=""25180""","21,871",181,"21,871","48,779,121","5,877","4,609,256","12,535","15,656,640","1,075",749,890,"21,277","87,847,306",462,"554,724","19,125",80,"9,178","12,286","8,954",523,"11,455","8,243",0,"3,677","2,475","3,727","4,208","2,474","2,014","1,925","1,713","1,363","1,161",0
"Hammond, LA","=""25220""","16,242",298,"16,242","49,900,337","3,105","2,167,895","10,570","13,876,018",803,608,545,"15,925","75,072,681",269,"229,509","14,747",0,"9,372","6,435","9,577",130,"10,455","5,114",0,"4,554",869,"2,460","4,242","3,374","1,665","1,262",944,619,492,0
"Hanford-Corcoran, CA","=""25260""","14,160",394,"14,160","37,459,492","4,896","3,588,776","9,919","13,285,508",741,656,445,"13,856","62,637,780",262,"298,115","11,389",0,"5,426","5,890","8,091",140,"5,843","7,566",0,"1,801",818,"1,830","2,453","1,817","1,712","1,650","1,506","1,100","1,005",54
"Harrisburg-Carlisle, PA","=""25420""","40,051",559,"40,051","88,085,337","11,235","8,645,589","22,688","28,570,564","2,484","1,850","2,280","38,826","162,176,332",923,"1,144,265","34,312",0,"14,873","22,236","16,101","1,385","19,692","16,619",0,"6,320","4,374","6,598","7,671","4,371","3,912","3,842","3,295","2,394","2,062",0
"Harrisonburg, VA","=""25500""","9,722",188,"9,722","22,135,942","2,905","2,144,477","5,647","7,602,238",495,267,297,"9,344","39,793,336",286,"404,909","8,313",55,"2,751","4,745","4,855",64,"4,717","4,135",0,"1,822",815,"1,385","1,718","1,002","1,103","1,018",804,561,514,0
"Hartford-West Hartford-East Hartford, CT","=""25540""","73,522","1,330","73,522","160,121,301","19,166","14,340,323","39,764","47,574,823","4,429","4,106","3,842","70,736","284,703,026","2,292","2,585,239","62,695",0,"28,630","34,482","33,804","4,536","38,732","27,623",0,"14,480","7,873","12,802","15,250","7,879","6,929","6,455","6,101","4,226","2,517",0
"Hattiesburg, MS","=""25620""","17,208",243,"17,208","48,052,363","3,629","2,527,879","10,779","13,577,273",827,859,679,"16,817","74,309,564",372,"340,987","15,605",0,"9,699","7,137","9,488",525,"9,918","6,320",0,"4,498","1,088","2,790","4,370","2,814","1,871","1,449","1,085",746,617,0
"Hickory-Lenoir-Morganton, NC","=""25860""","34,829",351,"34,829","81,857,867","9,643","7,193,676","20,170","24,994,371","1,633",986,996,"33,610","139,557,865","1,119","1,076,118","30,056",96,"14,443","14,672","18,464","1,579","18,557","13,615",0,"6,951","3,084","5,556","6,714","4,543","3,810","3,426","2,925","2,108","1,791",0
"Hilton Head Island-Bluffton-Beaufort, SC","=""25940""","15,791",217,"15,791","40,443,518","4,270","3,067,132","10,023","13,031,339","1,057",642,690,"15,262","66,319,157",479,"519,469","13,773",0,"7,033","8,346","6,713",628,"8,508","6,263",0,"3,617","1,100","2,333","3,350","2,116","1,842","1,603","1,233",907,691,0
"Hinesville, GA","=""25980""","10,565",98,"10,565","29,693,352","3,280","2,323,628","7,705","10,918,160",801,656,630,"10,461","54,977,819",74,"84,617","10,100",0,"5,445","5,632","4,600",279,"5,127","4,945",0,"1,890",497,"1,224","1,865","1,221","1,238","1,473","1,074",877,734,0
"Homosassa Springs, FL","=""26140""","11,857",0,"11,857","27,561,407","2,258","1,585,432","6,360","8,077,155",514,292,353,"11,300","44,800,758",511,"405,489","9,976",0,"3,996","6,930","4,417",353,"5,877","4,702",0,"3,023","1,369","2,144","2,776","1,701","1,114",845,683,524,403,0
"Hot Springs, AR","=""26300""","9,848",88,"9,848","24,698,698","2,220","1,531,929","5,826","7,375,706",357,222,271,"9,459","38,219,051",339,"313,907","8,225",0,"4,305","4,193","5,075",477,"5,519","3,509",0,"2,377",876,"1,685","2,220","1,474","1,022",752,608,417,327,0
"Houma-Thibodaux, LA","=""26380""","19,387",278,"19,387","51,215,807","4,637","3,424,475","11,780","14,311,700",830,565,493,"18,706","82,740,770",567,"659,842","17,182",0,"9,543","9,503","9,439",363,"10,694","7,461",0,"4,313","1,515","3,314","4,409","3,167","2,048","1,574","1,228",924,657,0
"Houston-The Woodlands-Sugar Land, TX","=""26420""","567,771","14,747","567,771","1,531,229,112","144,286","106,355,119","360,465","487,406,656","39,034","34,759","19,290","541,145","2,488,191,765","25,955","28,906,617","491,867",490,"251,502","220,478","329,870","15,419","342,030","191,837",0,"190,719","36,581","83,534","125,982","87,610","61,053","54,623","47,146","35,236","27,963",263
"Huntington-Ashland, WV-KY-OH","=""26580""","31,177",133,"31,177","72,157,771","7,116","5,426,234","17,592","21,303,225",541,749,"1,017","30,418","124,751,931",408,"607,680","27,268",0,"14,331","14,926","14,813","1,157","12,787","14,974",0,"4,692","3,195","5,528","6,605","3,821","2,728","2,204","1,812","1,266","1,245",0
"Huntsville, AL","=""26620""","35,933",359,"35,933","90,305,490","7,930","5,755,142","21,416","26,687,663","2,318","2,237","1,596","34,920","146,596,782",913,"956,289","32,409",183,"17,164","16,461","17,784","1,469","19,344","13,846",0,"8,251","2,869","6,177","8,563","5,012","3,641","3,140","2,528","1,883","1,526",0
"Idaho Falls, ID","=""26820""","11,608",84,"11,608","28,318,708","3,370","2,658,250","7,264","11,305,165",459,579,919,"11,230","47,054,969",316,"345,098","9,845",0,"3,283","5,313","5,303",847,"6,368","4,473",0,"2,733",893,"1,537","1,862","1,232","1,054","1,017",982,822,"1,084",58
"Indianapolis-Carmel-Anderson, IN","=""26900""","169,312","2,997","169,312","416,024,226","45,080","33,889,602","102,397","131,934,018","10,208","8,158","9,612","164,531","707,458,195","4,354","4,515,579","150,414",59,"73,925","97,577","68,659","2,251","85,462","69,621",0,"35,874","15,550","28,178","35,843","21,201","17,298","16,229","13,906","9,941","7,917",83
"Iowa City, IA","=""26980""","8,733",209,"8,733","18,209,679","2,061","1,563,812","4,512","5,972,369",502,527,740,"8,403","32,430,386",215,"312,261","7,389",0,"2,896","4,463","3,745",415,"4,542","3,277",0,"1,833",911,"1,461","1,855",840,679,646,496,435,353,0
"Ithaca, NY","=""27060""","5,350",42,"5,350","10,171,322","1,191","913,773","2,470","3,064,650",248,145,536,"5,048","18,099,066",232,"221,608","4,478",0,"1,770","2,655","1,782",775,"2,883","1,840",0,"1,179",737,"1,063","1,109",558,424,418,283,237,207,0
"Jackson, MI","=""27100""","13,117",160,"13,117","31,960,647","3,245","2,420,666","7,838","10,174,816",389,509,613,"12,658","53,560,505",350,"371,871","11,518",139,"5,711","6,804","5,382",774,"6,702","5,485",0,"2,518","1,231","2,135","2,822","1,826","1,195","1,021",866,597,509,0
"Jackson, MS","=""27140""","72,913",793,"72,913","210,380,925","15,579","10,587,155","46,923","58,820,838","5,898","6,004","2,381","71,558","330,904,444","1,166","1,154,052","66,873",0,"43,855","30,120","40,771","1,471","44,255","25,392",0,"18,928","3,776","10,840","18,001","12,096","8,720","7,042","5,491","3,418","1,831",0
"Jackson, TN","=""27180""","14,991",170,"14,991","39,390,337","3,577","2,538,075","9,241","11,557,229",829,626,409,"14,651","66,105,736",230,"309,349","13,549",0,"7,075","8,018","6,824",58,"6,429","7,175",0,"2,787","1,192","2,366","3,363","2,201","1,537","1,311","1,032",709,514,0
"Jacksonville, FL","=""27260""","140,597","1,953","140,597","353,684,050","34,266","24,868,865","85,630","110,473,099","10,656","7,478","6,370","136,453","594,909,462","3,946","3,696,450","125,647",152,"57,201","76,898","59,486","3,783","72,572","56,248",0,"35,916","11,705","23,218","31,137","19,016","14,888","13,483","11,308","8,111","6,178",31
"Jacksonville, NC","=""27340""","18,996",101,"18,996","48,103,700","6,181","4,607,869","13,255","17,880,469","1,344","1,039","1,267","18,635","91,497,640",348,"296,127","17,763",0,"8,209","11,086","6,973",895,"8,606","9,220",0,"3,215","1,255","2,475","3,204","2,104","2,287","2,103","1,951","1,659","1,702",81
"Janesville-Beloit, WI","=""27500""","12,719",157,"12,719","29,416,649","3,526","2,764,007","7,268","9,152,745",549,568,743,"12,383","50,096,363",300,"251,281","11,076",0,"4,616","5,973","6,485",182,"6,103","5,494",0,"2,024","1,221","2,170","2,608","1,491","1,281","1,173","1,028",747,697,0
