"STATE","STFIPS","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14","STATEFIPS"
MS,28,"383,916","4,233","383,916","1,103,867,484","84,512","58,217,007","246,553","310,616,400","19,784","20,908","9,654","376,374","1,745,949,075","5,616","6,531,909","348,463",43,"222,140","151,058","223,491","6,471","218,429","146,175",0,"94,951","20,220","57,328","95,321","64,633","43,642","33,866","26,024","16,846","10,914",0,"=""28"""
MT,30,"76,265",261,"76,265","162,528,924","19,582","15,269,624","40,692","53,669,540","3,155","2,028","4,586","72,641","275,961,043","2,372","3,307,535","62,156",0,"27,221","36,839","33,508","3,816","37,127","29,728",0,"15,468","7,795","12,580","14,453","7,482","6,183","5,669","4,809","3,537","3,411",43,"=""30"""
NC,37,"925,668","14,207","925,668","2,310,736,728","229,739","166,261,275","557,365","705,235,828","53,235","42,452","33,346","895,200","3,780,299,776","26,613","27,917,247","809,844","2,020","438,343","426,283","456,982","36,574","511,665","352,714",0,"212,834","74,404","151,822","200,764","126,019","97,008","86,458","71,858","50,886","39,187",187,"=""37"""
ND,38,"39,904",645,"39,904","84,939,212","12,106","9,975,502","21,917","28,483,888","2,893","1,351","3,324","38,363","161,601,042",755,"1,600,876","32,938",0,"13,255","17,277","18,243","2,284","19,177","15,368",0,"5,898","3,563","5,438","6,042","3,206","3,228","3,345","2,872","2,237","1,675",0,"=""38"""
NE,31,"131,799","1,928","131,799","307,428,167","38,960","30,480,375","78,385","107,411,363","9,994","4,847","7,216","126,940","549,318,832","2,576","4,760,868","114,344",0,"46,573","59,397","63,268","4,792","64,100","54,037",0,"24,287","10,109","17,541","21,876","13,329","11,945","12,068","10,372","7,712","6,893",22,"=""31"""
NH,33,"76,720",341,"76,720","150,795,323","20,719","16,461,060","37,171","44,591,800","3,920","2,708","4,391","72,847","282,441,426","2,259","3,843,471","62,445",0,"22,680","45,031","27,436","2,291","34,030","33,292",0,"14,827","8,525","12,146","13,886","7,051","5,974","6,071","5,433","3,661","2,713",0,"=""33"""
NJ,34,"594,724","15,104","594,724","1,377,715,735","138,789","99,106,859","329,140","408,074,400","40,129","34,965","26,315","565,088","2,342,638,186","27,185","27,865,748","473,592",0,"211,541","198,624","382,555","9,422","346,844","197,505",0,"146,533","52,793","102,723","128,871","76,880","60,198","54,755","46,192","32,728","22,107",70,"=""34"""
NM,35,"209,440","3,334","209,440","512,708,592","57,403","42,748,405","126,475","160,219,151","7,053","6,844","8,208","203,156","846,296,668","4,963","4,834,393","180,620",43,"79,774","94,408","102,674","9,558","100,834","90,967",0,"36,231","20,031","33,577","41,069","26,658","21,669","18,958","15,311","10,961","8,493",90,"=""35"""
NV,32,"244,884","6,126","244,884","599,021,614","73,194","53,624,406","151,499","201,452,795","16,979","11,499","8,870","236,693","1,033,457,187","7,534","6,887,910","207,463",0,"99,226","105,951","134,176","3,477","134,129","90,647",0,"55,481","18,198","35,496","49,223","31,472","26,499","25,487","24,546","16,326","11,640",103,"=""32"""
NY,36,"1,749,290","54,299","1,749,290","4,087,670,343","349,312","248,833,656","944,294","1,184,301,273","106,462","68,453","69,627","1,622,528","6,444,930,971","118,955","96,838,513","1,372,192",0,"600,336","497,669","1,170,471","69,272","1,073,884","536,104",0,"508,185","162,959","349,056","404,107","227,949","162,663","135,068","112,484","81,218","51,158",73,"=""36"""
